ARO Accession	CVTERM ID	Model Sequence ID	Model ID	Model Name	ARO Name	Protein Accession	DNA Accession
ARO:3002387	38787	1359	1914	BEL-3	BEL-3	ACT09140.1	GQ202694
ARO:3003730	40419	3541	2278	Bifidobacteria intrinsic ileS conferring resistance to mupirocin	Bifidobacterium ileS conferring resistance to mupirocin	YP_003971446	NC_014638
ARO:3000856	37236	1440	1942	BJP-1 beta-lactamase	BJP-1	BAL75272.1	AP012279
ARO:3000090	36229	1545	1338	BLA1	Bla1	AAR20595.1	AY453161
ARO:3004189	41353	4187	2836	Bla2	Bla2	AAR20596.1	AY453162
ARO:3003562	40169	3317	395	blaF	blaF	AAA19882.1	L25634
ARO:3000160	36299	394	1374	blaI	blaI	ABU39978.1	EF540343
ARO:3000217	36356	32	2063	blaR1	blaR1	ABU39979.1	EF540343
ARO:3003006	39440	710	1975	blt	blt	AAC36944.1	L32599
ARO:3003007	39441	86	1256	bmr	bmr	AAA22277.1	M33768
ARO:3003777	40454	3550	2286	Borrelia burgdorferi murA with mutation conferring resistance to fosfomycin	Borrelia burgdorferi murA with mutation conferring resistance to fosfomycin	NP_212606	NC_001318
ARO:3001205	37586	3682	255	determinant of bleomycin resistance	BRP(MBL)	YP_007652797.1	NC_020818.1
ARO:3003772	40445	3545	2281	Brucella suis mprF	Brucella suis mprF	Q8FW76	AE014292
ARO:3004123	41248	4100	2786	Burkholderia pseudomallei Omp38	Burkholderia pseudomallei Omp38	AAP82271	AY312416
ARO:3004294	41460	4198	2846	BUT-1	BUT-1	AAN17791.1	AF440406.1
ARO:3003789	40474	4231	2294	Campylobacter jejuni gyrA conferring resistance to fluoroquinolones	Campylobacter jejuni gyrA conferring resistance to fluoroquinolones	AJK71171.1	CP010306.1
ARO:3003931	40641	3733	2407	Capnocytophaga gingivalis gyrA conferring resistance to fluoroquinolones	Capnocytophaga gingivalis gyrA conferring resistance to fluoroquinolones	EEK14408.1	ACLQ01000019.1
ARO:3002817	39251	90	928	carA	carA	AAC32027.1	M80346
ARO:3002240	38640	1855	1363	CARB-1	CARB-1	AAK96394.1	AF313471
ARO:3002249	38649	1856	1478	CARB-10	CARB-10	ACJ61335.1	EU850412
ARO:3002250	38650	1912	1486	CARB-12	CARB-12	BAA02497.1	D13210
ARO:3002252	38652	1991	368	CARB-14	CARB-14	AFI72872.1	JQ364968
ARO:3002255	38655	780	533	CARB-16	CARB-16	CCW43444.1	HF953351
ARO:3002254	38654	862	1094	CARB-17	CARB-17	AIL92326.1	KJ934265
ARO:3003174	39751	942	2039	CARB-18	CARB-18	AIL92327.1	KJ934266
ARO:3003175	39752	1019	513	CARB-19	CARB-19	AIL92328.1	KJ934267
ARO:3002241	38641	1096	1811	CARB-2	CARB-2	AAZ91704.1	DQ157752
ARO:3003150	39727	3694	2110	CARB-20	CARB-20	WP_020835015.1	NG_048723.1
ARO:3003176	39753	1264	906	CARB-21	CARB-21	AGQ93789.1	CP006005
ARO:3003151	39728	1343	1201	CARB-22	CARB-22	BAC61820.1	BA000032
ARO:3003186	39763	1420	333	CARB-23	CARB-23	AHJ02283.1	CP007005
ARO:3002242	38642	1506	467	CARB-3	CARB-3	AAB19430.2	S46063
ARO:3002243	38643	1585	105	CARB-4	CARB-4	AAC09012.1	U14749
ARO:3002244	38644	1661	10	CARB-5	CARB-5	AAF61417.1	AF135373
ARO:3002245	38645	1736	641	CARB-6	CARB-6	AAD19217.1	AF030945
ARO:3002246	38646	1814	1443	CARB-7	CARB-7	AAM74565.1	AF409092
ARO:3002247	38647	1894	1661	CARB-8	CARB-8	AAO59455.1	AY178993
ARO:3002248	38648	1973	780	CARB-9	CARB-9	AAP22374.1	AY248038
ARO:3003808	40493	3576	2307	CarO	carO	AKL79742.1	KP658477.1
ARO:3002670	39104	434	823	cat	cat	AAA16529.1	M58516
ARO:3002670	39104	4243	823	cat	cat	CAA63498.2	X92945.2
ARO:3002670	39104	445	823	cat	cat	AAA23018.1	M35190
ARO:3002670	39104	451	823	cat	cat	AAA26615.1	M64281
ARO:3002670	39104	447	823	cat	cat	AAB23649.1	S48276
ARO:3002670	39104	439	823	cat	cat	AAA26613.1	M58515
ARO:3002670	39104	440	823	cat	cat	AAA25655.1	M11587
ARO:3002670	39104	436	823	cat	cat	CAC84275.1	AJ312056
ARO:3002670	39104	437	823	cat	cat	AAL08441.1	AF326777
ARO:3002670	39104	449	823	cat	cat	AAA22081.1	M58472
ARO:3002670	39104	448	823	cat	cat	NP_052167.1	NC_002096
ARO:3002670	39104	433	823	cat	cat	CAA43218.1	X60827
ARO:3002670	39104	454	823	cat	cat	NP_863168.1	NC_005000
ARO:3002670	39104	435	823	cat	cat	BAC11901.1	AB080798
ARO:3002670	39104	442	823	cat	cat	AAQ63644.1	AY238971
ARO:3002672	39106	143	2002	cat86	cat86	AAA22289.1	K00544
ARO:3002674	39108	174	492	catB	catB	AAA73865.1	M93113
ARO:3003110	39686	70	628	catB10	catB10	CAI47810.1	AJ878850
ARO:3002675	39109	210	712	catB2	catB2	NP_848167.1	NC_004771
ARO:3002676	39110	3699	150	catB3	catB3	YP_006965431.1	NC_019368.1
ARO:3002678	39112	295	1316	catB6	catB6	CAA11473.1	AJ223604
ARO:3002679	39113	737	1042	catB7	catB7	NP_249397.1	NC_002516
ARO:3002680	39114	3700	446	catB8	catB8	YP_009077553.1	NG_035647.1
ARO:3002681	39115	386	106	catB9	catB9	AAL68645.1	AF462019
ARO:3002682	39116	3590	1569	catD	catD	AAF66228.1	AF226276.1
ARO:3002683	39117	482	763	catI	catI	CAA23899.1	V00622
ARO:3002684	39118	742	1295	catII	catII	CAA37806.1	X53797
ARO:3002685	39119	528	1580	catIII	catIII	CAA30695.1	X07848
ARO:3002686	39120	571	477	catP	catP	AAB51421.1	U15027
ARO:3002687	39121	607	1633	catQ	catQ	AAA23215.1	M55620
ARO:3002688	39122	28	1047	catS	catS	CAA52904.1	X74948
ARO:3002671	39105	688	1524	cat-TC	cat-TC	AAB53259.1	U75299
ARO:3003983	40865	3856	2520	CatU	CatU	APB03217.1	KX531047.1
ARO:3004357	41525	4232	2873	catV	catV	ATL63235.1	KY753886.1
ARO:3000855	37235	760	1109	CAU-1 beta-lactamase	CAU-1	CAC87665.1	AJ308331
ARO:3002999	39433	1188	2	CblA-1	CblA-1	ACT97415.1	GQ343019
ARO:3000578	36717	1275	1381	CcrA beta-lactamase	CcrA	AAA22904.1	M63556
ARO:3003835	40526	3596	2321	cdeA	cdeA	CAE00499.1	AJ574887.1
ARO:3003009	39443	302	1719	ceoA	ceoA	AAB58160.1	U97042
ARO:3003010	39444	121	1252	ceoB	ceoB	AAB58161.1	U97042
ARO:3003559	40165	3285	1677	cepA beta-lactamase	cepA	AAA21532.1	U05883
ARO:3003553	40156	3286	299	CepS beta-lactamase	CepS	CAA56561.1	X80277
ARO:3001856	38256	902	636	CFE-1	CFE-1	BAC76072.1	AB107899
ARO:3003441	40028	3289	696	cfrA	cfrA	CAL64019.1	AM408573
ARO:3004146	41275	4138	2800	cfrC	cfrC	YP_001255356.1	NC_009495.1
ARO:3003001	39435	1354	741	CfxA	CfxA	AAB17891.1	U38243
ARO:3003002	39436	1433	174	CfxA2	CfxA2	AAD23513.1	AF118110
ARO:3003003	39437	1514	1895	CfxA3	CfxA3	AAL79549.2	AF472622
ARO:3003005	39439	1592	294	CfxA4	CfxA4	AAV37205.1	AY769933
ARO:3003096	39649	1669	833	CfxA5	CfxA5	AAV37206.1	AY769934
ARO:3003097	39650	1744	268	CfxA6	CfxA6	ACT97371.1	GQ342996
ARO:3000841	37221	956	871	CGB-1 beta-lactamase	CGB-1	ABS29619.1	EF672680
ARO:3003785	40469	3556	2291	Chlamydia trachomatis intrinsic murA conferring resistance to fosfomycin	Chlamydia trachomatis intrinsic murA conferring resistance to fosfomycin	AAN28945	AY152390
ARO:3001302	37701	559	305	chrB	chrB	AAS79458.1	AY509120
ARO:3000579	36718	3987	237	BlaB beta-lactamase	Chryseobacterium meningosepticum BlaB	WP_024565805.1	NZ_CP007547.1
ARO:3003907	40612	3704	2386	cipA	cipA	WP_015735625.1	NC_013406.1
ARO:3002814	39248	4248	571	clbA	clbA	AGZ55247.1	CP006845.1
ARO:3002815	39249	719	127	clbB	clbB	YP_002773985.1	NC_012491
ARO:3002816	39250	4249	1642	clbC	clbC	BAD63613.1	AP006627.1
ARO:3003357	39941	3358	2124	Clostridium difficile EF-Tu mutants conferring resistance to elfamycin	Clostridium difficile EF-Tu mutants conferring resistance to elfamycin	WP_009887863.1	NC_017174
ARO:3003995	40901	3887	2550	Clostridium difficile gyrA conferring resistance to fluoroquinolones	Clostridium difficile gyrA conferring resistance to fluoroquinolones	YP_001086469.1	NC_009089.1
ARO:3003773	40447	3546	2282	Clostridium perfringens mprF	Clostridium perfringens mprF	Q0SSM7	CP000312
ARO:3000783	37163	431	1181	cmeA	cmeA	ABS43901.1	CP000768
ARO:3000784	37164	166	748	cmeB	cmeB	ABS43151.1	CP000768
ARO:3000785	37165	492	798	cmeC	cmeC	BAO79432.1	AB894099
ARO:3000526	36665	31	1232	cmeR	cmeR	YP_002343805.1	NC_002163
ARO:3002693	39127	617	1037	cmlA1	cmlA1	AAO15535.1	AF458080
ARO:3002694	39128	656	971	cmlA4	cmlA4	AAF27726.1	AF156486
ARO:3002695	39129	695	245	cmlA5	cmlA5	AAM77075.1	AY115475
ARO:3002696	39130	728	1435	cmlA6	cmlA6	AAK52606.1	AF294653
ARO:3002698	39132	17	486	cmlB	cmlB	AAD22144.1	AF034958
ARO:3002699	39133	731	1038	cmlB1	cmlB1	CAL30186.1	AM296481
ARO:3002700	39134	82	703	cmlv	cmlv	AAB36568.1	U09991
ARO:3002702	39136	699	1744	cmrA	cmrA	AAC45805.1	AF015087
ARO:3002703	39137	3	1366	cmx	cmx	AAG03380.1	AF024666
ARO:3002012	38412	1034	20	CMY-1	CMY-1	CAA63264.1	X92508
ARO:3002021	38421	1114	812	CMY-10	CMY-10	AAK31368.1	AF357597
ARO:3002112	38512	1194	221	CMY-100	CMY-100	AHA80101.1	KF526113
ARO:3002113	38513	1281	1364	CMY-101	CMY-101	AHA80102.1	KF526114
ARO:3002114	38514	1360	1029	CMY-102	CMY-102	AHA80103.1	KF526115
ARO:3002115	38515	1441	1747	CMY-103	CMY-103	AHA80104.1	KF526116
ARO:3002116	38516	1546	658	CMY-104	CMY-104	AGR82311.1	KF150216
ARO:3002117	38517	1623	208	CMY-105	CMY-105	AHL39330.1	KJ207205
ARO:3002120	38520	1775	1504	CMY-108	CMY-108	AGZ20169.1	KF564648
ARO:3002022	38422	1857	1375	CMY-11	CMY-11	AAK31370.1	AF357599
ARO:3002071	38471	1913	281	CMY-110	CMY-110	BAO05497.1	AB872957
ARO:3002122	38522	1992	1638	CMY-111	CMY-111	AHW47897.1	KJ155695
ARO:3002123	38523	781	1454	CMY-112	CMY-112	AIT76090.1	KM087837
ARO:3002124	38524	863	775	CMY-113	CMY-113	AIT76089.1	KM087836
ARO:3002125	38525	943	46	CMY-114	CMY-114	AIT76099.1	KM087846
ARO:3002126	38526	1020	1268	CMY-115	CMY-115	AIT76092.1	KM087839
ARO:3002127	38527	1098	705	CMY-116	CMY-116	AIT76093.1	KM087840
ARO:3002128	38528	1178	844	CMY-117	CMY-117	AIT76097.1	KM087844
ARO:3002129	38529	1265	308	CMY-118	CMY-118	AIT76091.1	KM087838
ARO:3002130	38530	1344	1796	CMY-119	CMY-119	AIT76098.1	KM087845
ARO:3002023	38423	1421	1877	CMY-12	CMY-12	CAA76382.1	Y16785
ARO:3002024	38424	1507	525	CMY-13	CMY-13	AAQ16660.2	AY339625
ARO:3002025	38425	1662	1089	CMY-14	CMY-14	CAD88479.1	AJ555825
ARO:3002026	38426	1737	1650	CMY-15	CMY-15	CAD88477.1	AJ555823
ARO:3002027	38427	1815	1535	CMY-16	CMY-16	CAH03679.1	AJ781421
ARO:3002028	38428	1895	1103	CMY-17	CMY-17	AAS13399.1	AY513266
ARO:3002029	38429	1974	1433	CMY-18	CMY-18	AAU95778.1	AY743434
ARO:3002030	38430	761	1129	CMY-19	CMY-19	BAE48233.1	AB194410
ARO:3002013	38413	821	600	CMY-2	CMY-2	CAA62957.1	X91840
ARO:3002031	38431	903	840	CMY-20	CMY-20	AAX58682.2	AY960293
ARO:3002032	38432	957	256	CMY-21	CMY-21	AAZ66866.1	DQ139328
ARO:3002033	38433	1035	1543	CMY-22	CMY-22	ABB72431.1	DQ256079
ARO:3002034	38434	1115	972	CMY-23	CMY-23	ABF06441.1	DQ463751
ARO:3002035	38435	1195	771	CMY-24	CMY-24	ABN69070.1	EF415650
ARO:3002036	38436	1282	176	CMY-25	CMY-25	ACA30420.1	EU515249
ARO:3002037	38437	1361	1373	CMY-26	CMY-26	BAF56185.1	AB300358
ARO:3002038	38438	1442	672	CMY-27	CMY-27	ACA30421.1	EU515250
ARO:3002039	38439	1547	495	CMY-28	CMY-28	ABQ51091.1	EF561644
ARO:3002040	38440	1624	460	CMY-29	CMY-29	ABS12248.1	EF685371
ARO:3002041	38441	1700	1228	CMY-30	CMY-30	ABS12249.1	EF685372
ARO:3002042	38442	1776	1691	CMY-31	CMY-31	ABR18736.1	EF622224
ARO:3002043	38443	1858	790	CMY-32	CMY-32	ACA97846.1	EU496815
ARO:3002044	38444	1914	719	CMY-33	CMY-33	ACA97847.1	EU496816
ARO:3002045	38445	1993	1926	CMY-34	CMY-34	ABN51006.1	EF394370
ARO:3002046	38446	782	309	CMY-35	CMY-35	ABN51007.1	EF394371
ARO:3002047	38447	3695	2134	CMY-36	CMY-36	ABY58049.1	EU331426.1
ARO:3002048	38448	944	1489	CMY-37	CMY-37	BAF36388.1	AB280919
ARO:3002049	38449	1021	1613	CMY-38	CMY-38	CAP60699.1	AM931008
ARO:3002050	38450	1099	167	CMY-39	CMY-39	BAF95726.1	AB372224
ARO:3002015	38415	1179	271	CMY-4	CMY-4	CAA75402.1	Y15130
ARO:3002051	38451	1266	745	CMY-40	CMY-40	ACA30422.1	EU515251
ARO:3002052	38452	1345	1086	CMY-41	CMY-41	BAG14343.1	AB429270
ARO:3002053	38453	1422	62	CMY-42	CMY-42	ADM21467.1	HM146927
ARO:3002054	38454	1508	664	CMY-43	CMY-43	ACJ05361.1	FJ360626
ARO:3002055	38455	1586	839	CMY-44	CMY-44	ACJ65711.1	FJ437066
ARO:3002056	38456	1663	1516	CMY-45	CMY-45	CBB16411.1	FN546177
ARO:3002057	38457	1738	1170	CMY-46	CMY-46	CBH19182.1	FN556186
ARO:3002058	38458	1816	1915	CMY-47	CMY-47	ADH82410.1	HM046998
ARO:3002059	38459	1896	98	CMY-48	CMY-48	ADP02979.1	HM569226
ARO:3002060	38460	1975	1501	CMY-49	CMY-49	ACV32310.1	GQ402541
ARO:3002016	38416	3360	2065	CMY-5	CMY-5	YP_009075895.1	NG_035159
ARO:3002061	38461	822	911	CMY-50	CMY-50	CBI75447.1	FN645444
ARO:3002062	38462	904	340	CMY-51	CMY-51	AFK73431.1	JQ733571
ARO:3002064	38464	958	1236	CMY-53	CMY-53	ADQ38362.1	HQ336940
ARO:3002065	38465	1036	680	CMY-54	CMY-54	ADK55604.1	HM544039
ARO:3002066	38466	1116	88	CMY-55	CMY-55	ADK55605.1	HM544040
ARO:3002067	38467	1196	95	CMY-56	CMY-56	ADT91162.1	HQ322613
ARO:3002068	38468	1283	1704	CMY-57	CMY-57	ADP37961.1	HQ285243
ARO:3002072	38472	1362	854	CMY-58	CMY-58	ADY19254.1	HQ185697
ARO:3002069	38469	1443	1840	CMY-59	CMY-59	BAJ17544.1	AB587082
ARO:3002017	38417	1548	1409	CMY-6	CMY-6	CAB36902.1	AJ011293
ARO:3002073	38473	1625	288	CMY-60	CMY-60	AEM97672.1	JF460794
ARO:3002074	38474	1701	864	CMY-61	CMY-61	AEM97673.1	JF460795
ARO:3002075	38475	1777	1407	CMY-62	CMY-62	AEM97674.1	JF460796
ARO:3002076	38476	1859	1147	CMY-63	CMY-63	AET07387.1	HQ650104
ARO:3002077	38477	1915	1591	CMY-64	CMY-64	ADW84690.1	HQ832678
ARO:3002078	38478	1994	261	CMY-65	CMY-65	AEI52842.1	JF780936
ARO:3002079	38479	783	695	CMY-66	CMY-66	AEZ49849.1	JN714478
ARO:3002080	38480	864	1864	CMY-67	CMY-67	AFK08541.1	JQ711185
ARO:3002081	38481	945	1668	CMY-68	CMY-68	AEZ49855.1	JN714480
ARO:3002082	38482	1022	963	CMY-69	CMY-69	AGE45504.1	JX049132
ARO:3002018	38418	1100	1988	CMY-7	CMY-7	CAB36900.1	AJ011291
ARO:3002083	38483	1180	64	CMY-70	CMY-70	AFU25635.1	JX440350
ARO:3002084	38484	1267	550	CMY-71	CMY-71	AFK08538.1	JQ711184
ARO:3002085	38485	1346	1247	CMY-72	CMY-72	AFU25641.1	JX440352
ARO:3002086	38486	1423	1585	CMY-73	CMY-73	ACU00152.1	GQ351345
ARO:3002087	38487	1509	889	CMY-74	CMY-74	AFU25632.1	JX440349
ARO:3002088	38488	1587	683	CMY-75	CMY-75	AFK73434.1	JQ733572
ARO:3002089	38489	1664	2018	CMY-76	CMY-76	AFK73437.1	JQ733573
ARO:3002090	38490	1739	996	CMY-77	CMY-77	AFU25644.1	JX440353
ARO:3002091	38491	1817	1634	CMY-78	CMY-78	AFK73443.1	JQ733575
ARO:3002092	38492	1897	94	CMY-79	CMY-79	AFK73446.1	JQ733576
ARO:3002019	38419	1976	269	CMY-8	CMY-8	AAD50818.2	AF167990
ARO:3002093	38493	762	757	CMY-80	CMY-80	AFK73449.1	JQ733577
ARO:3002094	38494	823	1178	CMY-81	CMY-81	AFK73452.1	JQ733578
ARO:3002095	38495	905	1990	CMY-82	CMY-82	AHL39324.1	KJ207203
ARO:3002096	38496	959	364	CMY-83	CMY-83	AFU25638.1	JX440351
ARO:3002097	38497	1037	2027	CMY-84	CMY-84	AFK73455.1	JQ733579
ARO:3002098	38498	1117	283	CMY-85	CMY-85	AHL39322.1	KJ207202
ARO:3002099	38499	1197	1140	CMY-86	CMY-86	AHL39327.1	KJ207204
ARO:3002100	38500	1284	1829	CMY-87	CMY-87	BAL63057.1	AB699171
ARO:3002020	38420	1363	136	CMY-9	CMY-9	BAB72158.1	AB061794
ARO:3002103	38503	1444	894	CMY-90	CMY-90	CCK86743.1	HE819404
ARO:3002106	38506	1549	1756	CMY-93	CMY-93	AHM76768.1	KF992025
ARO:3002107	38507	1626	1163	CMY-94	CMY-94	AGC54798.1	JX514368
ARO:3002108	38508	1702	301	CMY-95	CMY-95	AGC54799.1	JX514369
ARO:3002111	38511	1778	297	CMY-98	CMY-98	AGH70380.1	KC603538
ARO:3002070	38470	1860	1593	CMY-99	CMY-99	AGU59995.1	KF305673
ARO:3003994	40876	3865	2529	cpaA	cpaA	APB03224.1	KX531054.1
ARO:3003099	39665	3364	1428	cphA2	cphA2	AAB03413.1	U60294
ARO:3003093	39646	820	1687	CEPH-A3	cphA3	AAM63403.1	AY112998
ARO:3003100	39666	1409	803	cphA4	cphA4	AAP69912.1	AY227050
ARO:3003101	39667	1501	1605	cphA5	cphA5	AAP69913.1	AY227051
ARO:3003102	39668	1579	1949	cphA6	cphA6	AAP69914.1	AY227052
ARO:3003103	39669	1656	143	cphA7	cphA7	CAA40386.1	X57102
ARO:3003104	39670	1731	1498	cphA8	cphA8	AAP97129.1	AY261375
ARO:3003716	40370	3431	2231	CPS-1	CPS-1	AJP77054	KP109675
ARO:3000830	37210	605	152	cpxA	cpxA	NP_312864.1	NC_002695
ARO:3000518	36657	461	869	CRP	CRP	BAE77933.1	AP009048
ARO:3001864	38264	1916	420	CTX-M-1	CTX-M-1	CAA63262.1	X92506
ARO:3001873	38273	1995	1946	CTX-M-10	CTX-M-10	AAT68658.1	AY598759
ARO:3001959	38359	784	717	CTX-M-100	CTX-M-100	CBW46935.1	FR682582
ARO:3001960	38360	865	307	CTX-M-101	CTX-M-101	ADY02545.1	HQ398214
ARO:3001961	38361	946	838	CTX-M-102	CTX-M-102	ADY02546.1	HQ398215
ARO:3001962	38362	1026	1440	CTX-M-103	CTX-M-103	CDG50843.1	HG423149
ARO:3001963	38363	1104	2022	CTX-M-104	CTX-M-104	ADY02555.1	HQ833652
ARO:3001965	38365	1184	1182	CTX-M-105	CTX-M-105	ADY02554.1	HQ833651
ARO:3001966	38366	1271	1774	CTX-M-106	CTX-M-106	ADZ31262.1	HQ913565
ARO:3001967	38367	1350	279	CTX-M-107	CTX-M-107	AEM44650.1	JF274244
ARO:3001968	38368	1429	847	CTX-M-108	CTX-M-108	AEM44651.1	JF274245
ARO:3001969	38369	1510	1292	CTX-M-109	CTX-M-109	AEM44654.1	JF274248
ARO:3001874	38274	1588	280	CTX-M-11	CTX-M-11	AAF93177.1	AY005110
ARO:3001970	38370	1665	1287	CTX-M-110	CTX-M-110	AEM44648.1	JF274242
ARO:3001971	38371	1740	1884	CTX-M-111	CTX-M-111	AEM44649.1	JF274243
ARO:3001972	38372	1818	130	CTX-M-112	CTX-M-112	AEM44652.1	JF274246
ARO:3001973	38373	1901	939	CTX-M-113	CTX-M-113	AEM44653.1	JF274247
ARO:3001974	38374	1980	1057	CTX-M-114	CTX-M-114	ACU00153.1	GQ351346
ARO:3001975	38375	766	1769	CTX-M-115	CTX-M-115	AIL54055.1	KJ911020
ARO:3001976	38376	824	1867	CTX-M-116	CTX-M-116	AEI70324.1	JF966749
ARO:3001977	38377	906	551	CTX-M-117	CTX-M-117	AET99223.1	JN227085
ARO:3001875	38275	1008	1779	CTX-M-12	CTX-M-12	AAG34108.1	AF305837
ARO:3001980	38380	1085	25	CTX-M-121	CTX-M-121	AFA51699.1	JN790862
ARO:3001981	38381	1167	591	CTX-M-122	CTX-M-122	AFA51700.1	JN790863
ARO:3001982	38382	1254	689	CTX-M-123	CTX-M-123	AFA51701.1	JN790864
ARO:3001983	38383	1333	1145	CTX-M-124	CTX-M-124	AFH88134.1	JQ429324
ARO:3001984	38384	1410	282	CTX-M-125	CTX-M-125	AFO69261.1	JQ724542
ARO:3001985	38385	1476	246	CTX-M-126	CTX-M-126	BAL72196.1	AB703103
ARO:3001988	38388	1550	2010	CTX-M-129	CTX-M-129	AFJ59956.1	JX017364
ARO:3001876	38276	1627	1457	CTX-M-13	CTX-M-13	AAF72531.1	AF252623
ARO:3001989	38389	1703	7	CTX-M-130	CTX-M-130	AFJ59957.1	JX017365
ARO:3001990	38390	4241	896	CTX-M-131	CTX-M-131	AEW46676.3	JN969893.3
ARO:3001991	38391	1861	1357	CTX-M-132	CTX-M-132	AFQ94051.1	JX313020
ARO:3001992	38392	1964	1815	CTX-M-134	CTX-M-134	AFX60298.1	JX896165
ARO:3001995	38395	2042	1910	CTX-M-136	CTX-M-136	AGG08693.1	KC351754
ARO:3001994	38394	785	671	CTX-M-137	CTX-M-137	BAO37256.1	AB900900
ARO:3001997	38397	866	908	CTX-M-139	CTX-M-139	AFY98865.1	KC107824
ARO:3001877	38277	947	841	CTX-M-14	CTX-M-14	AAF72530.1	AF252622
ARO:3001999	38399	1027	1064	CTX-M-141	CTX-M-141	AGN11769.1	KC964871
ARO:3002000	38400	1105	878	CTX-M-142	CTX-M-142	AGW25368.1	KF240809
ARO:3002002	38402	1185	1768	CTX-M-144	CTX-M-144	AHX39588.1	KJ020573
ARO:3002005	38405	1272	380	CTX-M-147	CTX-M-147	AHA80961.1	KF513180
ARO:3002006	38406	1351	1944	CTX-M-148	CTX-M-148	AHX39589.1	KJ020574
ARO:3001878	38278	1430	2035	CTX-M-15	CTX-M-15	AAL02127.1	AY044436
ARO:3002008	38408	1511	362	CTX-M-151	CTX-M-151	BAP34782.1	AB916359
ARO:3002009	38409	1589	1616	CTX-M-152	CTX-M-152	AHY20039.1	KJ461948
ARO:3003163	39740	1666	31	CTX-M-155	CTX-M-155	AIS67611.1	KM211508
ARO:3003164	39741	1741	1620	CTX-M-156	CTX-M-156	AIS67612.1	KM211509
ARO:3003165	39742	1819	1251	CTX-M-157	CTX-M-157	AIS67613.1	KM211510
ARO:3003166	39743	1902	817	CTX-M-158	CTX-M-158	AIT97310.1	KM211691
ARO:3003167	39744	2120	329	CTX-M-159	CTX-M-159	AJO16046.1	KP050493
ARO:3001879	38279	767	1606	CTX-M-16	CTX-M-16	AAK32961.1	AY029068
ARO:3003168	39745	2091	1947	CTX-M-160	CTX-M-160	AJU57235.1	KP128034
ARO:3001880	38280	907	1906	CTX-M-17	CTX-M-17	AAK71471.1	AY033516
ARO:3001881	38281	1009	189	CTX-M-19	CTX-M-19	AAK55534.1	AF325134
ARO:3001865	38265	1086	1648	CTX-M-2	CTX-M-2	AAZ95872.1	DQ125241
ARO:3001882	38282	1168	568	CTX-M-20	CTX-M-20	CAC95175.1	AJ416344
ARO:3001883	38283	1255	1101	CTX-M-21	CTX-M-21	CAD08929.1	AJ416346
ARO:3001884	38284	1334	1044	CTX-M-22	CTX-M-22	AAL86924.1	AY080894
ARO:3001885	38285	1411	1755	CTX-M-23	CTX-M-23	AAL99990.1	AF488377
ARO:3001886	38286	1477	175	CTX-M-24	CTX-M-24	AAN38836.1	AY143430
ARO:3001887	38287	1551	367	CTX-M-25	CTX-M-25	AAM70498.1	AF518567
ARO:3001888	38288	1628	1371	CTX-M-26	CTX-M-26	AAN75444.1	AY157676
ARO:3001889	38289	1704	1825	CTX-M-27	CTX-M-27	AAO61597.1	AY156923
ARO:3001890	38290	1780	1202	CTX-M-28	CTX-M-28	CAD70280.1	AJ549244
ARO:3001891	38291	1862	1930	CTX-M-29	CTX-M-29	AAP22736.1	AY267213
ARO:3001866	38266	1965	1317	CTX-M-3	CTX-M-3	CAA71321.1	Y10278
ARO:3001892	38292	2043	463	CTX-M-30	CTX-M-30	AAP43508.1	AY292654
ARO:3001893	38293	786	799	CTX-M-31	CTX-M-31	CAD99181.1	AJ567481
ARO:3001894	38294	867	1586	CTX-M-32	CTX-M-32	CAD89606.1	AJ557142
ARO:3001895	38295	948	1230	CTX-M-33	CTX-M-33	AAO88912.1	AY238472
ARO:3001896	38296	1028	666	CTX-M-34	CTX-M-34	AAR99493.1	AY515297
ARO:3001897	38297	1106	321	CTX-M-35	CTX-M-35	BAD83775.1	AB176534
ARO:3001898	38298	1186	316	CTX-M-36	CTX-M-36	BAD16611.1	AB177384
ARO:3001899	38299	1273	2017	CTX-M-37	CTX-M-37	AAT70415.1	AY649755
ARO:3001900	38300	1352	192	CTX-M-38	CTX-M-38	AAV70602.1	AY822595
ARO:3001901	38301	1431	1152	CTX-M-39	CTX-M-39	AAX54694.1	AY954516
ARO:3001867	38267	1512	987	CTX-M-4	CTX-M-4	CAA74573.1	Y14156
ARO:3001902	38302	4239	694	CTX-M-40	CTX-M-40	AAV28215.2	AY750914.2
ARO:3001903	38303	1667	567	CTX-M-41	CTX-M-41	AAY43008.1	DQ023162
ARO:3001904	38304	1742	92	CTX-M-42	CTX-M-42	AAY84742.1	DQ061159
ARO:3001905	38305	1820	1936	CTX-M-43	CTX-M-43	AAZ14955.1	DQ102702
ARO:3001906	38306	1903	1473	CTX-M-44	CTX-M-44	BAA07082.1	D37830
ARO:3001907	38307	1981	1738	CTX-M-45	CTX-M-45	BAA28282.1	D89862
ARO:3001908	38308	768	1254	CTX-M-46	CTX-M-46	AAV97956.1	AY847147
ARO:3001909	38309	825	532	CTX-M-47	CTX-M-47	AAV97952.1	AY847143
ARO:3001910	38310	908	754	CTX-M-48	CTX-M-48	AAV97953.1	AY847144
ARO:3001911	38311	1010	708	CTX-M-49	CTX-M-49	AAV97954.1	AY847145
ARO:3001868	38268	1087	1675	CTX-M-5	CTX-M-5	AAC32890.1	U95364
